ID,County,State,LandArea,TotalPop,TotalSeriousCrime,PercHS,PercBach,PercPov,PercUnemp,PerCapInc,TotalInc,Region
1,Los_Angeles,CA,4060,8863164,688936,70,22.3,11.6,8,20786,184230,4
2,Cook,IL,946,5105067,436936,73.4,22.8,11.1,7.2,21729,110928,2
3,Harris,TX,1729,2818199,253526,74.9,25.4,12.5,5.7,19517,55003,3
4,San_Diego,CA,4205,2498016,173821,81.9,25.3,8.1,6.1,19588,48931,4
5,Orange,CA,790,2410556,144524,81.2,27.8,5.2,4.8,24400,58818,4
6,Kings,NY,71,2300664,680966,63.7,16.6,19.5,9.5,16803,38658,1
7,Maricopa,AZ,9204,2122101,177593,81.5,22.1,8.8,4.9,18042,38287,4
8,Wayne,MI,614,2111687,193978,70,13.7,16.9,10,17461,36872,2
9,Dade,FL,1945,1937094,244725,65,18.8,14.2,8.7,17823,34525,3
10,Dallas,TX,880,1852810,214258,77.1,26.3,10.4,6.1,21001,38911,3
11,Philadelphia,PA,135,1585577,109148,64.3,15.2,16.1,8,16721,26512,1
12,King,WA,2126,1507319,124959,88.2,32.8,5,4.6,23779,35843,4
13,Santa_Clara,CA,1291,1497577,77009,82,32.6,5,5.5,25193,37728,4
14,San_Bernardino,CA,20062,1418380,83110,75.4,14.9,10.3,8,16399,23260,4
15,Cuyahoga,OH,458,1412140,73150,74,20.1,11,5.5,21086,29776,2
16,Middlesex,MA,824,1398468,35825,84.3,35.4,4.2,7.3,25312,35398,1
17,Allegheny,PA,730,1336449,50186,79,22.6,8.7,5.3,20681,27639,1
18,Suffolk,NY,911,1321864,66723,82.2,23,3.3,7,24262,32071,1
19,Nassau,NY,287,1287348,43203,84.2,30,2.5,5.1,31679,40782,1
20,Alameda,CA,738,1279182,107338,81.4,28.8,8.1,5.3,22148,28331,4
21,Broward,FL,1209,1255488,107386,76.8,18.8,7.1,7.4,22355,28066,3
22,Bexar,TX,1247,1185394,133098,72.7,19.7,16.2,6.7,15508,18383,3
23,Riverside,CA,7208,1170413,95494,74.1,14.6,8.4,10.7,17185,20114,4
24,Tarrant,TX,864,1170103,132495,79.9,24,8.2,6.6,18825,22027,3
25,Oakland,MI,873,1083592,50964,84.6,30.2,4.4,7.3,26884,29131,2
26,Sacramento,CA,966,1041219,84305,82.2,23,9.8,6.3,18934,19714,4
27,Hennepin,MN,557,1032431,71753,88.2,31.6,6.4,4.3,23705,24474,2
28,St._Louis,MO,508,993529,42595,82.3,29.2,4,5.1,24219,24062,2
29,Erie,NY,1045,968532,55306,76.4,20,9.4,6.8,18305,17729,1
30,Franklin,OH,540,961437,82680,81,26.6,9.1,4.2,19040,18306,2
31,Milwaukee,WI,242,959275,73681,76.3,19.3,12.6,4.9,18431,17680,2
32,Westchester,NY,433,874866,37118,81,35.3,4.7,5.4,33330,29159,1
33,Hamilton,OH,407,866228,57208,75.6,23.7,10.3,4.5,20580,17827,2
34,Palm_Beach,FL,1974,863518,76142,78.8,22.1,6.2,8.4,26798,23141,3
35,Hartford,CT,736,851783,51926,77.7,25.8,6,6.9,24875,21188,1
36,Pinellas,FL,280,851659,62344,78.1,18.5,6.2,6.2,21610,18404,3
37,Honolulu,HI,600,836231,51032,81.2,24.6,5.4,2.3,21307,17818,4
38,Hillsborough,FL,1051,834054,89895,75.6,20.2,9.5,6,16876,14075,3
39,Fairfield,CT,626,827645,44374,81,34.2,4.5,5.9,32342,26768,1
40,Shelby,TN,755,826330,67032,75.1,20.8,14.7,5.4,18430,15229,3
41,Bergen,NJ,234,825380,28521,81.6,31.7,2.7,5.2,32230,26602,1
42,Fairfax_County,VA,396,818584,30202,91.4,49,2.2,3.2,28999,23738,3
43,New_Haven,CT,606,804219,52903,77.5,24.2,6,7.3,22197,17851,1
44,Contra_Costa,CA,720,803732,51243,86.5,31.6,5.5,5.6,25523,20514,4
45,Marion,IN,396,797159,61004,76.8,21.4,9.3,5,19148,15264,2
46,DuPage,IL,334,781666,29708,88.6,36,1.7,4.8,26772,20927,2
47,Essex,NJ,126,778206,75595,70.1,24,11.3,7.9,24523,19084,1
48,Montgomery,MD,495,757027,34754,90.6,49.9,2.7,3.3,30081,22772,3
49,Clark,NV,7911,741459,52786,77.3,13.8,7.5,5.8,18625,13810,4
50,Baltimore_City,MD,81,736014,87355,60.7,15.5,17.8,9.4,17263,12706,3
51,Prince_George's,MD,486,729268,54469,83.2,25.5,3.7,5,19568,14270,3
52,Salt_Lake,UT,737,725956,58610,85.3,23.8,7.7,4.5,15399,11179,4
53,San_Francisco,CA,47,723959,71234,78,35,9.7,5.6,28532,20656,4
54,Macomb,MI,480,717400,41048,76.9,13.5,4,9.4,20924,15011,2
55,Monroe,NY,659,713968,43780,80.1,26.3,7.7,4.4,21641,15451,1
56,Worcester,MA,1513,709705,7099,77.4,22.2,6.3,10.2,19895,14120,1
57,Baltimore,MD,599,692134,46789,78.4,25,3.8,5.7,23470,16244,3
58,Montgomery,PA,483,678111,20335,83.8,32.1,2.2,5,28462,19300,1
59,Orange,FL,908,677491,52577,78.8,21.2,7.8,6.6,17879,12113,3
60,Duval,FL,774,672971,68586,76.9,18.4,9.8,6.6,17662,11886,3
61,Middlesex,NJ,311,671780,30548,79.4,26.5,3.4,5.7,24896,16725,1
62,Essex,MA,498,670080,34312,80.2,25.9,7.5,9,22834,15301,1
63,Ventura,CA,1846,669016,30235,79.4,23,5,7,21420,14330,4
64,Fresno,CA,5963,667490,62004,66.2,16.9,16.8,12.6,16365,10923,4
65,Pima,AZ,9187,666880,57051,80.5,23.3,12,3.9,15191,10131,4
66,Jefferson,KY,385,664937,32419,74.1,19.3,10.9,6.3,19140,12727,3
67,Suffolk,MA,59,663906,68808,75.4,27.7,14.4,8.7,23150,15369,1
68,Jefferson,AL,1113,651525,55604,73.8,19.9,12.7,5.3,18624,12134,3
69,San_Mateo,CA,449,649623,30473,84.1,31.3,4.3,4.2,28819,18721,4
70,Fulton,GA,529,648951,93025,77.8,31.6,15.4,5.3,22819,14808,3
71,Jackson,MO,605,633232,61760,79.5,20,9.8,6.5,18611,11785,2
72,Norfolk,MA,400,616087,14830,88,34.4,3.1,7.5,26909,16578,1
73,District_of_Columbia,DC,61,606900,64393,73.1,33.3,13.3,7.7,23603,14325,3
74,Oklahoma,OK,709,599611,57045,79.1,22.6,11.3,6,17741,10638,3
75,Providence,RI,413,596270,34627,67,18.3,8.9,9,17866,10653,1
76,El_Paso,TX,1013,591610,54002,63.7,15.2,22.4,10.8,11545,6830,3
77,Pierce,WA,1676,586203,41980,83.2,17.5,8.7,6.4,16194,9493,4
78,Multnomah,OR,435,583887,58216,82.9,23.7,8.9,5.1,19215,11219,4
79,Travis,TX,989,576407,60961,83.4,34.7,10.2,4.8,18340,10571,3
80,Montgomery,OH,462,573809,36665,77.8,20,9.8,5.7,18410,10564,2
81,Monmouth,NJ,472,553124,22302,82.8,28.4,3.4,5.8,27391,15151,1
82,Hudson,NJ,47,553099,40581,64.1,19.7,12.4,9,18463,10212,1
83,Delaware,PA,184,547651,18924,81.4,24.8,5,5.3,23658,12956,1
84,De_Kalb,GA,268,545837,56950,83.9,32.7,7.2,4.4,21005,11465,3
85,Kern,CA,8142,543477,36318,67.6,13.3,13.7,11.8,15881,8631,4
86,Bucks,PA,608,541174,16894,82.9,24.8,2.9,6.7,22548,12202,1
87,Lake,IL,448,516418,22349,84.7,32,3.7,4.6,27378,14138,2
88,Summit,OH,413,514990,26228,78.3,19.7,9.5,6,18583,9570,2
89,Mecklenburg,NC,527,511433,57999,81.6,28.3,7.2,4.8,20942,10710,3
90,Davidson,TN,502,510784,45237,75.9,24.4,10,4.6,19505,9963,3
91,Bristol,MA,556,506325,22023,65,15.9,7.4,12.3,18521,9378,1
92,Tulsa,OK,570,503341,39496,81.7,23.7,10,6.1,19295,9712,3
93,Camden,NJ,222,502824,34814,75.5,21,8,6.9,19930,10021,1
94,Kent,MI,856,500631,31553,80.3,20.7,6.9,7.5,18674,9349,2
95,Orleans,LA,181,496938,54238,68.1,22.4,27.3,6.1,16578,8238,3
96,Union,NJ,103,493819,30299,75.2,25,5.3,6.9,26248,12962,1
97,Ramsey,MN,156,485765,30574,85,28.8,8.1,4.3,20303,9862,2
98,San_Joaquin,CA,1399,480628,41179,68.6,13.2,12,12,15453,7427,4
99,Bernalillo,NM,1166,480577,41280,82.1,26.7,10.9,5.2,17518,8419,4
